timestamp,memory_MB,cpu_percent
2025-04-22T23:53:55.212221,56.78,0.00
2025-04-22T23:53:55.317312,56.78,0.20
2025-04-22T23:53:55.418564,56.77,31.20
2025-04-22T23:53:55.524446,56.77,86.70
2025-04-22T23:53:55.629707,56.66,99.80
2025-04-22T23:53:55.734819,56.72,99.70
2025-04-22T23:53:55.836409,56.72,99.80
2025-04-22T23:53:55.936766,56.72,99.20
2025-04-22T23:53:56.037126,56.72,99.80
2025-04-22T23:53:56.137494,56.72,19.60
2025-04-22T23:53:56.242590,56.72,0.00
2025-04-22T23:53:56.343560,56.72,31.90
2025-04-22T23:53:56.444203,56.72,98.70
2025-04-22T23:53:56.548073,56.72,99.90
2025-04-22T23:53:56.650195,56.73,99.90
2025-04-22T23:53:56.755272,56.73,100.00
2025-04-22T23:53:56.856654,56.73,100.10
2025-04-22T23:53:56.961730,56.73,57.60
2025-04-22T23:53:57.066771,56.73,0.00
2025-04-22T23:53:57.168168,56.73,0.00
2025-04-22T23:53:57.273244,56.73,95.30
2025-04-22T23:53:57.375165,56.73,99.50
2025-04-22T23:53:57.480261,56.73,99.30
2025-04-22T23:53:57.585348,56.73,99.60
2025-04-22T23:53:57.690439,56.73,99.10
2025-04-22T23:53:57.793291,56.73,98.60
2025-04-22T23:53:57.893642,56.73,7.80
2025-04-22T23:53:57.993952,56.73,0.00
2025-04-22T23:53:58.099049,56.73,45.10
2025-04-22T23:53:58.204119,56.73,98.70
2025-04-22T23:53:58.309212,56.80,88.30
2025-04-22T23:53:58.412154,56.91,94.90
2025-04-22T23:53:58.517280,56.91,99.60
2025-04-22T23:53:58.622375,56.91,45.70
2025-04-22T23:53:58.727540,56.77,88.60
2025-04-22T23:53:58.831159,56.77,47.70
2025-04-22T23:53:58.936235,56.77,0.00
2025-04-22T23:53:59.041311,56.53,9.60
2025-04-22T23:53:59.146376,56.53,100.00
2025-04-22T23:53:59.248311,56.53,100.00
2025-04-22T23:53:59.353367,56.55,100.00
2025-04-22T23:53:59.458419,56.75,100.00
2025-04-22T23:53:59.563475,56.75,100.00
2025-04-22T23:53:59.666384,56.75,61.40
2025-04-22T23:53:59.771433,56.75,0.00
2025-04-22T23:53:59.876491,56.75,0.10
2025-04-22T23:53:59.981538,56.75,96.70
2025-04-22T23:54:00.086473,56.75,99.60
2025-04-22T23:54:00.191554,55.80,99.90
2025-04-22T23:54:00.296620,55.80,99.50
2025-04-22T23:54:00.401689,55.80,100.00
2025-04-22T23:54:00.504042,55.80,79.50
2025-04-22T23:54:00.609090,55.80,0.30
2025-04-22T23:54:00.714135,55.80,0.10
2025-04-22T23:54:00.819183,55.80,77.80
2025-04-22T23:54:00.924247,55.80,100.00
2025-04-22T23:54:01.029298,55.84,100.00
